apellido_paterno,apellido_materno,nombre,fecha_nacimiento,sexo,producto,saldo,telefono,estado,municipio,colonia,calle,numero
SOTELO,PORRAS,LIA VALENTINA,1963-11-07,MUJER,credito,24158,2533372792,Guerrero,Amecameca,Moderno,Unidad Ganadera,SN
SAAVEDRA,ALVARADO,PATRICIO,2001-06-29,HOMBRE,prestamo personal,2265,9401737336,Tamaulipas,Apaxco,Valle del Rio San Pedro,San Xavier,45
COVARRUBIAS,AMEZCUA,MIRIAM,1957-07-01,MUJER,prestamo personal,9921,0185458008,Zacatecas,Atenco,Guadalupe Posada,Residencial del Real,10
BARRIENTOS,ESCOBEDO,ROGELIO,1978-01-01,HOMBRE,credito avio,91620,8026479814,Tabasco,Atizapán,San Marcos,Puerta Navarra,53
PEDRAZA,CHIMAL,ROSA MARIA,1996-05-02,MUJER,prestamo personal,7810,0469434670,Puebla,Atizapán de Zaragoza,San Marcos,Residencial Campestre Club de Golf,89
MONTERO,ENCARNACION,ANDRE,1988-08-04,HOMBRE,credito refaccionario,74169,3630996642,Querétaro,Atlacomulco,San Marcos,Palma Real,31
URBINA,IBAÑEZ,ASHLEY,1998-05-23,MUJER,debito,10405,0701840844,Baja California,Atlautla,Modelo,Muralia,74
ARTEAGA,SALMERON,JESUS SANTIAGO,2002-07-24,HOMBRE,credito refaccionario,76290,0673474970,Puebla,Axapusco,Residencial del Valle I,Agropecuario,38
BUSTOS,OLMEDO,ALEXIA,1983-09-12,MUJER,credito nomina,1424,3481816019,Guanajuato,Ayapango,Residencial del Valle II,Centro Distribuidor de Básicos,91
MELCHOR,CARMONA,ZAID,1982-09-02,HOMBRE,credito departamental,4620,5063266282,Baja California Sur,Calimaya,La Herradura,La Rinconada,61
DELGADILLO,MAGALLANES,ESTEFANY,1966-01-13,MUJER,debito,4249,0488545740,Nuevo León,Capulhuac,Club Campestre,El Plateado,75
ORNELAS,TORRES,JESUS MATEO,1963-12-09,HOMBRE,credito avio,149671,8083492854,Guanajuato,Coacalco de Berriozábal,Jardines del Campestre,Residencial Pulgas Pandas Norte,12
BUSTAMANTE,JUSTO,MONICA,1988-03-19,MUJER,credito avio,77134,2117552750,Campeche,Coatepec Harinas,Los Vergeles,Residencial Pulgas Pandas Sur,26
RINCON,CARDOSO,JOSE ALFREDO,1964-10-11,HOMBRE,credito nomina,2208,9780841866,Morelos,Cocotitlán,Ciudad Universitaria,Villas del Vergel,95
CANCHE,CEPEDA,GERALDINE,1992-07-17,MUJER,credito departamental,7515,1870951876,Querétaro,Coyotepec,Rancho San Antonio,Cerrada San Miguel,SN
VICENTE,ESCUDERO,DANIEL ALEJANDRO,1990-11-06,HOMBRE,credito nomina,1033,3598871007,Hidalgo,Cuautitlán,Villas de Montenegro,Las Hadas,49
PRADO,ELIZALDE,ANAHI,1998-09-04,MUJER,debito,10025,1983402096,Baja California,Chalco,Las Cavas,Morelos,58
POOT,ALDANA,ANGEL EDUARDO,1998-02-02,HOMBRE,credito avio,170681,3886595809,Michoacán,Chapa de Mota,La Enramada,Andrea,SN
PABLO,OCAMPO,GRETTEL,2002-01-16,MUJER,debito,3375,9949316878,Aguascalientes,Chapultepec,Talamantes Ponce,Los Arcos,8
NOLASCO,SEGOVIA,JESUS ALBERTO,1983-11-28,HOMBRE,prestamo personal,1891,0621392833,Guanajuato,Chiautla,Granjas del Campestre,Industrial,7
FONSECA,ARTEAGA,MARIEL,1981-04-30,MUJER,credito departamental,6029,6444703209,Chiapas,Chicoloapan,Puerto las Hadas,La Estrella,9
LINARES,PORTILLO,JOSE ALBERTO,1971-01-17,HOMBRE,prestamo personal,2108,1441857796,Guanajuato,Chiconcuac,Valle del Campestre,Macias Arellano,SN
PAZ,TIRADO,AMAYA,1973-08-07,MUJER,debito,4359,0879902282,Quintana Roo,Chimalhuacán,Trojes de Oriente,Trento,SN
JAIMES,BARRON,JOSE EMILIANO,2002-08-14,HOMBRE,credito refaccionario,99443,7388005853,Querétaro,Donato Guerra,Valle de las Trojes,Nueva Andalucia Coto Residencial,SN
VELEZ,GARIBAY,NOEMI,1964-12-25,MUJER,credito departamental,3724,1606741034,Nayarit,Ecatepec de Morelos,Villas de San Nicolás,Lomas del Cobano,10
ALEMAN,ALMAZAN,ANGEL JESUS,2003-05-04,HOMBRE,credito avio,184393,7381007105,Chihuahua,Ecatzingo,San Telmo,Buenavista,49
REYNOSO,DELGADO,SARAI,2000-07-22,MUJER,credito avio,102173,7113429339,Aguascalientes,Huehuetoca,La Paloma,C.T.M.,90
PUENTE,CASTAÑON,VICTOR,1998-06-17,HOMBRE,credito nomina,1141,5486160279,Oaxaca,Hueypoxtla,Barrio de Santiago,La Higuerilla,SN
JACOBO,COLUNGA,AITANA SOFIA,1996-09-28,MUJER,credito,15587,0148949104,Sinaloa,Huixquilucan,Villa de las Trojes,Parras,SN
CARREON,ALFONSO,MARCOS,1989-05-19,HOMBRE,credito,16768,9425803068,Tamaulipas,Isidro Fabela,Valle de Santa Teresa,El Cobano,21
PATIÑO,DAVALOS,MARIA REGINA,1985-10-17,MUJER,credito,16597,1252445871,Tabasco,Ixtapaluca,La Troje,Hacienda el Cobano,93
CANTU,OLVERA,ERNESTO,1961-02-15,HOMBRE,credito refaccionario,77547,0087361047,Ciudad de Mexico,Ixtapan de la Sal,Trojes de Alonso,Trojes del Cobano,41
PULIDO,MERINO,YAZMIN,1985-01-15,MUJER,prestamo personal,8558,2695621758,Ciudad de Mexico,Ixtapan del Oro,San Telmo Residencial,Villas del Cobano,85
FRIAS,LOERA,MARCELO,1989-06-27,HOMBRE,prestamo personal,2361,3138947185,Sinaloa,Ixtlahuaca,Santa Fe,Alianza Ferrocarrilera,10
CEDILLO,CHAVEZ,LIZETH,1995-01-28,MUJER,debito,11382,0328629855,Oaxaca,Xalatlaco,Aguascalientes 2000,Bosques del Prado Oriente,86
GAMBOA,LEMUS,JESUS GAEL,1961-12-02,HOMBRE,prestamo personal,5390,2596600493,Tlaxcala,Jaltenco,Las Trojes,Francisco Guel Jimenez,81
NERI,BADILLO,OLIVIA,1999-03-18,MUJER,credito,19268,4584782966,Sinaloa,Jilotepec,Misión del Campanario,Las Viñas INFONAVIT,24
DAMIAN,JIMENEZ,JOAQUIN,1963-01-17,HOMBRE,credito departamental,2544,8891896668,Nayarit,Jilotzingo,Trojes de Cristal,Santa Anita 4a Sección,96
VALLEJO,MONTES,TERESA,1989-03-29,MUJER,credito refaccionario,84129,1871822955,Chiapas,Jiquipilco,Trojes del Sol,Santa Anita,85
ZAMUDIO,AMBROSIO,MARIANO,1993-02-10,HOMBRE,credito nomina,2634,1041194557,Campeche,Jocotitlán,Residencial Santa Clara,Santa Anita 2a Sección,73
GUADARRAMA,NEVAREZ,VALERIA GUADALUPE,1967-02-15,MUJER,credito avio,250736,0577027182,Coahuila,Joquicingo,Misión de Santiago,El Maguey,48
MILLAN,VERGARA,ALEX,1964-08-06,HOMBRE,credito nomina,1281,3048098129,Yucatán,Juchitepec,Andora Residencial,Las Cumbres,3
ESPINO,OCAÑA,ROMINA GUADALUPE,1966-02-01,MUJER,credito refaccionario,65045,1620065749,Ciudad de Mexico,Lerma,Cadaqués Residencial,Lic Benito Juárez,SN
AVENDAÑO,MENESES,RUBEN,1974-05-24,HOMBRE,credito nomina,2415,1855516245,Guanajuato,Malinalco,Valle del Campanario,Nazario Ortiz Garza,43
ROBLEDO,ARRIETA,YULIANA,1996-04-30,MUJER,debito,8264,9484202663,Chihuahua,Melchor Ocampo,Las Misiones,Rodolfo Landeros Gallegos,33
CERON,LEDEZMA,SAID,2003-08-24,HOMBRE,debito,5315,9846214752,Tamaulipas,Metepec,Los Jarales,S.T.E.M.A.,SN
BOLAÑOS,CASTAÑON,KARINA,1996-06-23,MUJER,prestamo personal,5029,3772835825,Ciudad de Mexico,Mexicaltzingo,Cerrada El Molino,Zona Militar,7
GIRON,MANDUJANO,LIAM ALEXANDER,1981-09-02,HOMBRE,prestamo personal,3021,0614871707,Michoacán,Morelos,Valle Real,Villa Bonita,61
ESTEBAN,BAEZA,MELISA,1992-08-14,MUJER,prestamo personal,4602,8606325347,Durango,Naucalpan de Juárez,Terzetto,Lic Benito Palomino Dena,79
JASSO,MONREAL,IAN TADEO,1982-05-29,HOMBRE,credito,20776,7447611296,Oaxaca,Nezahualcóyotl,Cerrada de La Misión,Anexo Benito Palomino Dena Cumbres II),SN
MOTA,IBARRA,JESSICA,1958-05-26,MUJER,credito,21106,2856936349,Hidalgo,Nextlalpan,Cerrada del Valle,La Florida l,SN
MONTAÑO,VALERO,JOSE ALEJANDRO,1973-05-19,HOMBRE,credito avio,102161,6749220855,Nuevo León,Nicolás Romero,Cerrada de la Mezquitera,La Florida ll,SN
VALDIVIA,PEREZ,DANAE,1976-04-07,MUJER,credito nomina,3275,3401772252,Coahuila,Nopaltepec,Lomas del Campestre 2a Sección,Claustros Loma Dorada,79
TREVIÑO,TAPIA,MISAEL,1998-05-19,HOMBRE,debito,9236,4384506026,Zacatecas,Ocoyoacac,Villas del Campestre,Cumbres III,14
BARRAZA,MONTAÑEZ,SOFIA VICTORIA,1993-04-05,MUJER,credito avio,246810,1886724361,Guanajuato,Ocuilan,Los Calicantos,Lomas de Bellavista,92
NEGRETE,ARREDONDO,DARIO,1969-03-01,HOMBRE,credito refaccionario,79825,2520010279,Oaxaca,El Oro,Jardines de la Concepción,Lomas de las Fuentes,SN
CERDA,GALAVIZ,YATZIRI,1988-06-16,MUJER,credito,15828,4038800065,Nuevo León,Otumba,Los Bosques,Colinas de Oriente,SN
MIRELES,IÑIGUEZ,DYLAN ALEXANDER,1960-04-07,HOMBRE,credito refaccionario,97868,0223425928,Durango,Otzoloapan,Rinconada los Bosques,Vista de las Cumbres,64
ALEJANDRO,MIRAMONTES,ARACELI,1979-06-25,MUJER,credito hipotecario,415166,0163647362,Quintana Roo,Otzolotepec,La Perla Norte,Villa Montaña,71
DZUL,CABELLO,LIAM SANTIAGO,1974-03-09,HOMBRE,credito refaccionario,52856,3137378262,Veracruz,Ozumba,Arroyo El Molino,Villas de Don Antonio,55
GARRIDO,PINTO,DANIA,1985-11-29,MUJER,credito hipotecario,179621,1597685098,Guerrero,Papalotla,Galerías,Los Ángeles,74
ALEJO,CALVO,LIAM MATEO,1996-07-17,HOMBRE,prestamo personal,7317,2200832503,Hidalgo,La Paz,Residencial Altaria,Capittala,56
OSUNA,LAGUNAS,ANA KAREN,1968-03-14,MUJER,credito hipotecario,714627,2651503707,Chihuahua,Polotitlán,Constitución,Recinto de la Macarena,11
JOSE,VERDUZCO,JOSE DAVID,1969-10-14,HOMBRE,debito,1798,9644542522,Chiapas,Rayón,Libertad,La Soledad,34
ALCANTAR,TAPIA,MARIA SOFIA,1984-11-30,MUJER,credito departamental,9364,9817144314,Aguascalientes,San Antonio la Isla,Pozo Bravo Norte,Los Naranjos,56
MUNGUIA,SILVANO,LIAM GAEL,1981-03-10,HOMBRE,credito hipotecario,237263,6696808269,Guerrero,San Felipe del Progreso,Soberana Convención Revolucionaria,Villa de Nuestra Señora de La Asunción Sector Guadalupe,59
OLGUIN,REGALADO,AMELIA,1987-01-14,MUJER,credito,22500,1011227612,Coahuila,San Martín de las Pirámides,San Cayetano,Villa Teresa,42
CAAMAL,ROA,LUIS EDUARDO,1957-08-08,HOMBRE,credito nomina,4071,5421574082,Chiapas,San Mateo Atenco,Colinas del Rio,Cartagena 1947,77
ANGULO,PANIAGUA,ARELY,2002-10-30,MUJER,credito departamental,5503,0216720433,Guerrero,San Simón de Guerrero,Olivares Santana,Villas de La Convención,43
ARAUJO,JUAN,HUGO,1988-11-18,HOMBRE,credito avio,172634,4413386993,Tamaulipas,Santo Tomás,Las Brisas,Lomas de La Asunción,51
BECERRIL,CORONA,GIANNA,2002-06-28,MUJER,debito,1159,6778117088,Guerrero,Soyaniquilpan de Juárez,Ramon Romo Franco,Villa de Nuestra Señora de La Asunción Sector Encino,SN
COTA,BARRERA,IAN DANIEL,1980-10-08,HOMBRE,credito refaccionario,90614,8163108354,Tlaxcala,Sultepec,Colinas de San Ignacio,Villa de Nuestra Señora de La Asunción Sector Alameda,99
CASAS,ENCARNACION,SANDRA,1982-05-06,MUJER,credito,24518,8753923618,Tabasco,Tecámac,La Fundición,San José de Pozo Bravo,44
HEREDIA,HARO,CRISTOFER,1990-06-18,HOMBRE,credito refaccionario,51938,5892394963,Yucatán,Tejupilco,Fundición II,Villa de Nuestra Señora de La Asunción Sector San Marcos,SN
MENESES,CASTREJON,DARIANA,1961-01-26,MUJER,credito hipotecario,116283,7186846875,Quintana Roo,Temamatla,Los Sauces,Villa de Nuestra Señora de La Asunción Sector Estación,46
CHACON,VILLALOBOS,JESUS EMILIANO,1990-12-12,HOMBRE,debito,5668,8162184425,Jalisco,Temascalapa,Línea de Fuego,Las Plazas,12
OLMOS,GAYTAN,MIA NICOLE,2002-07-08,MUJER,prestamo personal,1651,1406563296,Aguascalientes,Temascalcingo,Buenos Aires,El Rosedal,16
GAONA,REMIGIO,LUIS DAVID,1959-12-15,HOMBRE,credito refaccionario,76799,0561643488,Guanajuato,Temascaltepec,Circunvalación Norte,Natura,SN
LEDEZMA,BAZAN,ALESSANDRA,1987-02-22,MUJER,credito,19992,8255684599,Guanajuato,Temoaya,Las Arboledas,Montebello Della Stanza,SN
SERNA,SALMERON,YAEL,1981-11-30,HOMBRE,credito avio,238344,9212453732,Durango,Tenancingo,Villas de San Francisco,Villa Notre Dame,SN
PASCUAL,LERMA,MILAGROS GUADALUPE,1959-07-12,MUJER,debito,1701,4990161147,Morelos,Tenango del Aire,Villas de La Universidad,Privada Guadalupe,28
BANDA,GARZA,IKER ALEXANDER,1986-09-09,HOMBRE,credito departamental,9939,5458947644,Nayarit,Tenango del Valle,El Sol,Rinconada Pozo Bravo,85
FELIPE,CALDERA,CRISTINA,2003-09-25,MUJER,credito avio,84939,7352035776,Quintana Roo,Teoloyucan,Gremial,Pozo Bravo Sur,100
CHAVARRIA,DIMAS,JOSE MATEO,2001-10-19,HOMBRE,credito hipotecario,179345,8010907008,Coahuila,Teotihuacán,Industrial,Villa Loma Dorada,SN
ALCALA,ANTONIO,KEYLA,1962-06-04,MUJER,debito,8847,2375146285,Guerrero,Tepetlaoxtoc,Altavista,Jardines de Montebello,SN
ANDRES,BARTOLO,JOSE ARMANDO,1957-03-21,HOMBRE,credito hipotecario,145589,2270638268,Aguascalientes,Tepetlixpa,Curtidores,Villas del Río,23
LEMUS,GODOY,SOPHIA,1973-02-27,MUJER,credito refaccionario,95183,9603260827,Oaxaca,Tepotzotlán,La Concordia,El Puertecito,73
NORIEGA,EUGENIO,AGUSTIN,1965-11-22,HOMBRE,debito,5397,3072059220,Campeche,Tequixquiac,Miravalle,Rinconada del Puertecito,98
ALANIS,MORENO,KAREN,2000-11-09,MUJER,debito,4288,2472518245,Ciudad de Mexico,Texcaltitlán,Panorama,Bosques del Prado Norte,38
CORNEJO,GARNICA,AXEL GAEL,2001-03-11,HOMBRE,credito hipotecario,708781,5046725280,Yucatán,Texcalyacac,Residencial Guadalupe,Sartenejo,65
LOERA,ESPINDOLA,RENATA GUADALUPE,1996-03-27,MUJER,credito avio,164759,3032755454,Chihuahua,Texcoco,Colinas del Poniente,Lomas del Campestre 1a Sección,51
VERGARA,CEDILLO,EITHAN,1964-10-09,HOMBRE,credito hipotecario,731643,5771746403,México,Tezoyuca,Bugambilias,Bosques del Prado Sur,20
DIEGO,SERRATO,AITANA VALENTINA,1957-08-11,MUJER,prestamo personal,9713,1663706950,Coahuila,Tianguistenco,Del Carmen,El Roble,68
BADILLO,DIMAS,ALVARO,1974-12-08,HOMBRE,debito,4267,3892076921,Ciudad de Mexico,Timilpan,La Fe,Fátima,7
MARCIAL,PABLO,AMANDA,2002-06-28,MUJER,credito,18591,2705325849,Tamaulipas,Tlalmanalco,México,Independencia de México,49
RUEDA,OSUNA,FRANCO,1979-11-26,HOMBRE,credito nomina,3372,0072907122,Baja California,Tlalnepantla de Baz,Primavera,Nueva Rinconada,20
BARCENAS,VIVEROS,ANDREA GUADALUPE,1960-07-29,MUJER,credito hipotecario,757492,1587991796,Tamaulipas,Tlatlaya,San Pablo,Primo Verdad,99
CHI,VENEGAS,JOSE FRANCISCO,2003-09-05,HOMBRE,credito nomina,1893,9545751444,Guerrero,Toluca,Guadalupe,San José del Arenal,76
ARAGON,DURAN,EMMA VICTORIA,1996-12-26,MUJER,credito hipotecario,549474,7317066474,Guanajuato,Tonatico,Heliodoro Garcia,Unidad Ganadera,SN
ADAME,SAENZ,JOSE SANTIAGO,1987-06-30,HOMBRE,credito hipotecario,217751,0009453598,Durango,Tultepec,Gómez,San Xavier,47
ALMARAZ,MILLAN,MARIBEL,1970-12-04,MUJER,debito,4417,7521965665,Colima,Tultitlán,Moderno,Residencial del Real,99
MARES,LAZARO,DYLAN JESUS,1963-08-12,HOMBRE,credito hipotecario,368248,3980986660,Campeche,Valle de Bravo,Valle del Rio San Pedro,Puerta Navarra,SN
CEBALLOS,TOSCANO,DANIELA GUADALUPE,1957-09-13,MUJER,debito,10507,2831216679,Aguascalientes,Villa de Allende,Guadalupe Posada,Residencial Campestre Club de Golf,17
TENORIO,FALCON,JOSE TADEO,1991-09-24,HOMBRE,prestamo personal,8923,5529113789,Guanajuato,Villa del Carbón,San Marcos,Palma Real,47
CAMARILLO,OLIVERA,SOFIA ISABELLA,1973-09-28,MUJER,credito hipotecario,373949,9953841162,Michoacán,Villa Guerrero,San Marcos,Muralia,90
NIEVES,SAMANIEGO,IAN JESUS,1972-04-22,HOMBRE,credito departamental,3888,4781725294,Ciudad de Mexico,Villa Victoria,San Marcos,Agropecuario,SN
VALERIO,PARDO,HANNA SOFIA,1989-09-29,MUJER,credito departamental,7845,8284983368,Querétaro,Xonacatlán,Modelo,Centro Distribuidor de Básicos,SN
JERONIMO,PLASCENCIA,JACOB,1988-06-10,HOMBRE,debito,7332,9333143689,Yucatán,Zacazonapan,Residencial del Valle I,La Rinconada,SN
JUAN,VELAZQUEZ,LIA FERNANDA,1967-01-09,MUJER,credito hipotecario,499969,8959331966,Nuevo León,Zacualpan,Residencial del Valle II,El Plateado,58
PRIETO,UICAB,MAXIMO,1976-06-23,HOMBRE,credito refaccionario,52507,1955121482,Puebla,Zinacantepec,La Herradura,Residencial Pulgas Pandas Norte,72
AGUSTIN,CARPIO,MELANI,1961-07-01,MUJER,credito hipotecario,374738,7192788963,México,Zumpahuacán,Club Campestre,Residencial Pulgas Pandas Sur,57
CADENA,PABLO,ALFONSO,1976-09-02,HOMBRE,credito hipotecario,409475,0745824959,Sinaloa,Zumpango,Jardines del Campestre,Villas del Vergel,SN
CAUICH,RINCON,RAQUEL,1961-03-05,MUJER,credito nomina,2153,0312166415,Nuevo León,Cuautitlán Izcalli,Los Vergeles,Cerrada San Miguel,SN
TEJEDA,PABLO,JARED,1966-07-09,HOMBRE,credito hipotecario,358379,5922860617,Morelos,Valle de Chalco Solidaridad,Ciudad Universitaria,Las Hadas,27
AREVALO,DE LA PAZ,MARIA VALENTINA,1993-07-20,MUJER,credito,17383,8438196319,Quintana Roo,Luvianos,Rancho San Antonio,Morelos,30
CHABLE,PARADA,LUIS MATEO,1989-11-16,HOMBRE,credito refaccionario,92240,6040675025,Sinaloa,San José del Rincón,Villas de Montenegro,Andrea,51
AMARO,GALICIA,VERONICA,1959-03-26,MUJER,debito,4443,6376953562,Nayarit,Tonanitla,Las Cavas,Los Arcos,87
VELASQUEZ,DE LA TORRE,IAN ALEJANDRO,1981-02-19,HOMBRE,credito avio,184699,9639765706,Chihuahua,Acuitzio,La Enramada,Industrial,8
RAMON,LINARES,EMILY GUADALUPE,1987-08-06,MUJER,credito departamental,6618,5479886089,Tabasco,Aguililla,Talamantes Ponce,La Estrella,77
ORDAZ,MEZA,MATIAS ALEJANDRO,1976-05-12,HOMBRE,credito nomina,1010,1259460089,San Luis Potosí,Álvaro Obregón,Granjas del Campestre,Macias Arellano,59
SORIA,LICONA,CAMILA SOFIA,1970-05-13,MUJER,credito refaccionario,61307,4764991021,Sinaloa,Angamacutiro,Puerto las Hadas,Trento,12
ROLDAN,MORELOS,CARLOS ALBERTO,1958-11-02,HOMBRE,prestamo personal,8553,9245592095,Zacatecas,Angangueo,Valle del Campestre,Nueva Andalucia Coto Residencial,63
BERMUDEZ,MACIAS,FABIOLA,1963-12-28,MUJER,credito nomina,3018,7176387740,Oaxaca,Apatzingán,Trojes de Oriente,Lomas del Cobano,65
MANUEL,OLIVAS,ADAN,1987-06-08,HOMBRE,credito refaccionario,61360,1876052045,Michoacán,Aporo,Valle de las Trojes,Buenavista,59
JAIME,POOL,SOFIA ELIZABETH,1997-08-15,MUJER,credito nomina,2132,6103961192,Guerrero,Aquila,Villas de San Nicolás,C.T.M.,55
SOLORZANO,ESCAMILLA,GONZALO,2001-01-10,HOMBRE,credito hipotecario,197390,1952633877,Tabasco,Ario,San Telmo,La Higuerilla,57
AMAYA,ALEJANDRE,KIMBERLY GUADALUPE,1975-06-09,MUJER,debito,8010,0619948096,Baja California Sur,Arteaga,La Paloma,Parras,SN
ALMANZA,PERALTA,JUAN DANIEL,1975-09-25,HOMBRE,prestamo personal,2364,2546572235,Baja California Sur,Briseñas,Barrio de Santiago,El Cobano,38
OLIVAS,VIDALES,MIA FERNANDA,2000-07-01,MUJER,credito,20400,7572723101,Baja California,Buenavista,Villa de las Trojes,Hacienda el Cobano,65
ZACARIAS,DUEÑAS,ANGEL MATIAS,1998-06-10,HOMBRE,credito refaccionario,88196,2759048431,Querétaro,Carácuaro,Valle de Santa Teresa,Trojes del Cobano,SN
CEJA,MIGUEL,ZOE VALENTINA,1978-08-12,MUJER,debito,9302,9167532538,Tlaxcala,Coahuayana,La Troje,Villas del Cobano,31
ZAMBRANO,URIBE,ANTHONY,1982-11-26,HOMBRE,credito refaccionario,97570,4366716892,Guanajuato,Coalcomán de Vázquez Pallares,Trojes de Alonso,Alianza Ferrocarrilera,60
LANDEROS,TERAN,ROXANA,1986-08-20,MUJER,prestamo personal,3379,0983061342,Tamaulipas,Coeneo,San Telmo Residencial,Bosques del Prado Oriente,23
RUVALCABA,VELASQUEZ,JOSE GAEL,2003-11-18,HOMBRE,credito avio,296410,0559148644,Baja California Sur,Contepec,Santa Fe,Francisco Guel Jimenez,SN
BUSTILLOS,CAZAREZ,ESPERANZA,1960-06-07,MUJER,credito avio,193118,2336486178,Tamaulipas,Copándaro,Aguascalientes 2000,Las Viñas INFONAVIT,SN
HINOJOSA,JARAMILLO,ANGEL URIEL,1961-07-17,HOMBRE,credito hipotecario,325607,5771797236,Querétaro,Cotija,Las Trojes,Santa Anita 4a Sección,SN
ELIAS,ALMARAZ,PAULA SOFIA,1967-06-19,MUJER,credito hipotecario,257382,6719133304,Tlaxcala,Cuitzeo,Misión del Campanario,Santa Anita,75
GABRIEL,QUEVEDO,NOE,2000-04-29,HOMBRE,credito nomina,4538,8490232195,Durango,Charapan,Trojes de Cristal,Santa Anita 2a Sección,17
VERDUGO,ROMAN,BELEN,1997-07-17,MUJER,credito departamental,6632,6648199905,Tamaulipas,Charo,Trojes del Sol,El Maguey,79
ALBA,ZAMUDIO,CARLOS EDUARDO,1991-01-28,HOMBRE,credito nomina,2881,7821116390,Tlaxcala,Chavinda,Residencial Santa Clara,Las Cumbres,SN
KU,GARRIDO,SOFIA ALEJANDRA,1964-07-24,MUJER,credito nomina,4163,9393552586,Querétaro,Cherán,Misión de Santiago,Lic Benito Juárez,SN
TINOCO,CAMARGO,DIEGO ALEJANDRO,1959-06-07,HOMBRE,credito,15109,1587303915,Michoacán,Chilchota,Andora Residencial,Nazario Ortiz Garza,88
SAENZ,TRINIDAD,ANA VALERIA,1980-01-20,MUJER,credito nomina,1057,3425362193,Chihuahua,Chinicuila,Cadaqués Residencial,Rodolfo Landeros Gallegos,14
SIFUENTES,VENANCIO,JESUS DAVID,1957-08-18,HOMBRE,credito,17276,6679895277,Campeche,Chucándiro,Valle del Campanario,S.T.E.M.A.,16
ACUÑA,GAYOSSO,ERIKA,1987-02-01,MUJER,credito hipotecario,937824,0431373704,Chihuahua,Churintzio,Las Misiones,Zona Militar,37
MANCILLA,DOMINGUEZ,LUCAS,1983-07-02,HOMBRE,debito,3385,3065034055,Ciudad de Mexico,Churumuco,Los Jarales,Villa Bonita,89
BAÑUELOS,SEVILLA,ARANTZA,1974-09-18,MUJER,credito refaccionario,89268,9753176929,Durango,Ecuandureo,Cerrada El Molino,Lic Benito Palomino Dena,11
SARMIENTO,PUENTE,GILBERTO,1967-10-24,HOMBRE,credito refaccionario,52992,9235981499,Morelos,Epitacio Huerta,Valle Real,Anexo Benito Palomino Dena Cumbres II),85
ROJO,ZURITA,DANNA VICTORIA,1994-03-14,MUJER,credito refaccionario,66329,9942041101,Durango,Erongarícuaro,Terzetto,La Florida l,57
BETANCOURT,VILLALOBOS,LUIS ALEJANDRO,1995-04-21,HOMBRE,prestamo personal,8850,9747249297,Tabasco,Gabriel Zamora,Cerrada de La Misión,La Florida ll,81
CLEMENTE,MELCHOR,ESTHER,1963-02-22,MUJER,credito hipotecario,533635,8803260661,Jalisco,Hidalgo,Cerrada del Valle,Claustros Loma Dorada,16
CORRAL,ALMAZAN,AXEL MATEO,1977-11-23,HOMBRE,credito avio,126787,8816615562,Aguascalientes,La Huacana,Cerrada de la Mezquitera,Cumbres III,53
JACINTO,JAVIER,BERENICE,1971-12-03,MUJER,credito avio,144367,4281296445,Jalisco,Huandacareo,Lomas del Campestre 2a Sección,Lomas de Bellavista,22
MANZANO,PEÑALOZA,EFRAIN,1981-01-23,HOMBRE,credito departamental,8708,0714550477,Nayarit,Huaniqueo,Villas del Campestre,Lomas de las Fuentes,91
LEDESMA,ALCARAZ,MARIA BELEN,1962-12-05,MUJER,credito avio,222632,7887219034,Tamaulipas,Huetamo,Los Calicantos,Colinas de Oriente,SN
RAZO,BARBOZA,ANGEL DAMIAN,1977-12-30,HOMBRE,credito hipotecario,522901,3752962661,México,Huiramba,Jardines de la Concepción,Vista de las Cumbres,38
MARROQUIN,ARMENDARIZ,VANESA,1985-02-04,MUJER,credito avio,131248,2225070102,Sinaloa,Indaparapeo,Los Bosques,Pintores Mexicanos,91
TOMAS,LARIOS,DIEGO ALEXANDER,1960-09-08,HOMBRE,credito nomina,2595,4397735331,Baja California Sur,Irimbo,Rinconada los Bosques,Progreso,SN
DE LUNA,ZENTENO,JAQUELINE,1960-12-13,MUJER,credito refaccionario,74211,5104569244,Tamaulipas,Ixtlán,La Perla Norte,Santa Regina,70
PEDROZA,PEDRAZA,IKER SANTIAGO,1980-01-02,HOMBRE,debito,9030,8914934742,Chihuahua,Jacona,Arroyo El Molino,Cerro Alto,54
RUELAS,ORTIZ,LIA GUADALUPE,1973-08-26,MUJER,credito,19934,5112138397,México,Jiménez,Galerías,Santa Margarita,21
LUCIO,OLIVERA,LUIS MANUEL,1972-02-05,HOMBRE,credito hipotecario,599434,3296003016,Sinaloa,Jiquilpan,Residencial Altaria,Del Trabajo,SN
LIZARRAGA,REMIGIO,NAYELI,1981-01-07,MUJER,credito nomina,2225,9120615087,San Luis Potosí,Juárez,Constitución,Ferronales,SN
BALAM,GALEANA,NOAH,1999-08-31,HOMBRE,credito nomina,3460,3711345390,Morelos,Jungapeo,Libertad,Luis Gómez Zepeda ferronales,SN
ABARCA,AVALOS,DIANA SOFIA,1983-08-31,MUJER,credito avio,249858,5629307047,Oaxaca,Lagunillas,Pozo Bravo Norte,Lomas de Santa Anita,12
VELA,NUÑEZ,OSVALDO,1961-06-13,HOMBRE,prestamo personal,7405,7701981887,Durango,Madero,Soberana Convención Revolucionaria,Alameda,25
